iter	Passed	Remaining
194	15241	766397
195	15289	764789
196	15340	763351
197	15401	762467
198	15455	761178
199	15509	759957
200	15579	759529
201	15628	758067
202	15679	756730
203	15742	755971
204	15798	754878
205	15854	753801
206	15930	753645
207	15994	752962
208	16071	752878
209	16143	752593
210	16211	752113
211	16267	751057
212	16334	750538
213	16385	749313
214	16458	749056
215	16506	747674
216	16586	747780
217	16641	746747
218	16709	746278
219	16777	745845
220	16853	745760
221	16929	745666
222	16993	745033
223	17042	743764
224	17104	743087
225	17161	742180
226	17233	741966
227	17290	741078
228	17358	740635
229	17412	739654
230	17478	739164
231	17545	738713
232	17619	738571
233	17690	738331
234	17760	737985
235	17812	736970
236	17865	735972
237	17910	734619
238	17978	734272
239	18033	733380
240	18099	732914
241	18159	732243
242	18227	731873
243	18308	732043
244	18364	731217
245	18422	730471
246	18487	730006
247	18534	728841
248	18602	728469
249	18682	728622
250	18741	727936
251	18814	727800
252	18882	727460
253	18936	726602
254	19002	726195
255	19047	725008
256	19129	725191
257	19188	724546
258	19254	724173
259	19312	723461
260	19378	723075
261	19437	722454
262	19503	722073
263	19573	721831
264	19642	721566
265	19742	722449
266	19812	722240
267	19895	722472
268	19961	722116
269	20035	722003
270	20100	721598
271	20155	720866
272	20205	719906
273	20261	719205
274	20307	718148
275	20363	717444
276	20410	716445
277	20464	715678
278	20512	714711
279	20571	714132
280	20618	713129
281	20679	712633
282	20741	712186
283	20803	711698
284	20853	710843
285	20912	710278
286	20959	709350
287	21015	708703
288	21069	707995
289	21124	707315
290	21197	707241
291	21258	706761
292	21304	705797
293	21357	705089
294	21404	704175
295	21461	703579
296	21511	702786
297	21564	702083
298	21611	701174
299	21664	700484
300	21709	699533
301	21780	699433
302	21836	698838
303	21903	698608
304	21958	697978
305	22015	697455
306	22072	696912
307	22152	697094
308	22199	696236
309	22264	695937
310	22323	695486
311	22376	694823
312	22422	693938
313	22477	693363
314	22551	693353
315	22623	693296
316	22683	692893
317	22737	692288
318	22805	692105
319	22874	691954
320	22934	691538
321	23001	691329
322	23060	690893
323	23126	690665
324	23186	690246
325	23238	689585
326	23287	688864
327	23349	688538
328	23394	687695
329	23451	687201
330	23502	686539
331	23560	686097
332	23632	686042
333	23700	685883
334	23773	685888
335	23857	686191
336	23913	685696
337	23984	685607
338	24043	685208
339	24103	684828
340	24150	684065
341	24233	684350
342	24288	683832
343	24359	683752
344	24415	683293
345	24482	683104
346	24541	682716
347	24606	682476
348	24661	681978
349	24715	681454
350	24773	681024
351	24840	680863
352	24912	680835
353	24994	681072
354	25053	680673
355	25149	681285
356	25217	681147
357	25295	681293
358	25366	681231
359	25456	681680
360	25522	681463
361	25591	681351
362	25637	680635
363	25695	680222
364	25752	679803
365	25828	679873
366	25897	679750
367	25965	679626
368	26024	679250
369	26092	679115
370	26145	678574
371	26201	678131
372	26252	677556
373	26312	677229
374	26364	676685
375	26424	676349
376	26485	676037
377	26540	675601
378	26589	674982
379	26653	674761
380	26705	674215
381	26769	674012
382	26820	673442
383	26880	673139
384	26947	672986
385	27004	672590
386	27051	671963
387	27129	672076
388	27187	671713
389	27265	671850
390	27379	672852
391	27446	672708
392	27508	672457
393	27574	672276
394	27642	672157
395	27716	672192
396	27778	671926
397	27885	672745
